Time; Serial.print output 
27380200.086000443;SYS: :!set left=0 right=0;
28370457.89299965;SYS: :!set left=0 right=0;
29378463.0;SYS: :!set left=0 right=0;
29555342.708000183;SYS: :!start_x=(cm)-100 start_y=(cm)0:!goal_x=(cm)0goal_y=(cm)0;
30372005.024000168;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
30372005.024000168;SYS: :!set left=0 right=0;
31378515.570001602;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
31378515.570001602;SYS: :!set left=0 right=0;
32371648.24399948;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
32371648.24399948;SYS: :!set left=0 right=0;
33379659.560001373;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
33379659.560001373;SYS: :!set left=0 right=0;
34371736.180000305;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
34371736.180000305;SYS: :!set left=0 right=0;
35379536.305000305;SYS: :!pose_x=(cm)-100 pose_y=(cm)0 pose_theta=(degree)0;
35379536.305000305;SYS: :!set left=0 right=0;
Time; Serial.print output 
3188634.0590000153;SYS: :!set left=0 right=0;
3956284.0389995575;SYS: :!start_x=(cm)0 start_y=(cm)0:!goal_x=(cm)-100goal_y=(cm)0;
4179752.5049991608;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)39;
4179752.5049991608;SYS: :!set left=-341 right=341;
5186741.029998779;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)-178;
5186741.029998779;SYS: :!set left=4 right=-4;
6180450.649000168;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)-179;
6180450.649000168;SYS: :!set left=2 right=-2;
7186691.111000061;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)179;
7186691.111000061;SYS: :!set left=-2 right=2;
8179131.706001282;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)-179;
8179131.706001282;SYS: :!set left=2 right=-2;
9186824.180999756;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)179;
9186824.180999756;SYS: :!set left=-2 right=2;
