Time; Serial.print output 
834614976.2930031;SYS: :!start_x=(cm)0 start_y=(cm)0:!goal_x=(cm)0goal_y=(cm)-100;
834664361.4120026;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
834664361.4120026;SYS: :!set left=0 right=0;
835671022.1090012;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
835671022.1090012;SYS: :!set left=0 right=0;
836663944.9319992;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
836663944.9319992;SYS: :!set left=0 right=0;
837671429.0719986;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
837671429.0719986;SYS: :!set left=0 right=0;
838663452.3920021;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
838663452.3920021;SYS: :!set left=0 right=0;
839671382.5019989;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
839671382.5019989;SYS: :!set left=0 right=0;
840664454.1280022;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
840664454.1280022;SYS: :!set left=0 right=0;
841671891.1389999;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)0;
841671891.1389999;SYS: :!set left=0 right=0;
