Time; Serial.print output 
215221316.20999908;SYS: :!set left=0 right=0;
216213068.38599968;SYS: :!set left=0 right=0;
217220177.78099823;SYS: :!set left=0 right=0;
218212774.6119976;SYS: :!set left=0 right=0;
219219765.27699852;SYS: :!set left=0 right=0;
220211102.99299812;SYS: :!set left=0 right=0;
220370452.06299973;SYS: :!start_x=(cm)0 start_y=(cm)0:!goal_x=(cm)100goal_y=(cm)100;
221219100.8259983;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)37;
221219100.8259983;SYS: :!set left=-19 right=19;
222211489.73599815;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)45;
222211489.73599815;SYS: :!set left=0 right=0;
223219267.54099846;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)45;
223219267.54099846;SYS: :!set left=0 right=0;
224212746.93099976;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)45;
224212746.93099976;SYS: :!set left=0 right=0;
225218715.82999802;SYS: :!pose_x=(cm)0 pose_y=(cm)0 pose_theta=(degree)45;
225218715.82999802;SYS: :!set left=0 right=0;
